OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Total Households,English Only Households,Spanish Limited English Speaking Households,Spanish Not Limited English Speaking Households,Other Indo-European Languages Limited English Speaking Households,Other Indo-European Languages Not Limited English Speaking Households,Asian and Pacific Island Languages Limited English Speaking Households,Asian and Pacific Island Languages Not Limited English Speaking Households,Other Languages Limited English Speaking Households,Other Languages Not Limited English Speaking Households,Population 5 years and Over,Speak Only English,Speak Spanish,Speak Spanish Not Very Well,Speak Other Indo-European Languages,Speak Other Indo-European Languages Not Very Well,Speak Asian and Pacific Island Languages,Speak Asian and Pacific Island Languages Not Very Well,Speak Other Languages,Speak Other Languages Not Very Well,Population Speaks a Language Other than English,Population Speaks English Less than Very Well,Households with Limited English,Neighborhood Type (outside comp plan areas id)
8,1.1,Arbor Heights,CRA,Southwest,5Y22,2682,2412,12,72,0,69,20,88,9,0,5793,5387,125,47,68,0,204,125,9,9,406,181,41,CRA
9,1.2,Fauntleroy/Seaview,CRA,Southwest,5Y22,6786,5823,25,305,13,302,60,199,0,59,13995,12516,429,84,494,82,465,179,91,0,1479,345,98,CRA
10,1.3,West Seattle Junction/Genesee Hill,CRA,Southwest,5Y22,10878,9216,28,625,0,588,49,311,0,61,22088,19632,819,95,1126,191,425,127,86,12,2456,425,77,CRA
11,1.4,Alki/Admiral,CRA,Southwest,5Y22,5602,4694,0,117,0,442,17,296,0,36,11166,9472,175,0,951,237,484,169,84,0,1694,406,17,CRA
12,2.1,North Delridge,CRA,Delridge Neighborhoods,5Y22,3064,2235,0,230,24,111,151,209,0,104,5483,4271,462,62,154,61,471,180,125,21,1212,324,175,CRA
13,2.2,High Point,CRA,Delridge Neighborhoods,5Y22,3631,2518,9,129,0,178,60,294,122,321,8457,5767,189,28,390,77,795,390,1316,534,2690,1029,191,CRA
14,2.3,Riverview,CRA,Delridge Neighborhoods,5Y22,1881,1352,28,144,7,70,6,219,0,55,4524,3480,248,59,140,31,537,259,119,21,1044,370,41,CRA
15,2.4,Roxhill/Westwood,CRA,Delridge Neighborhoods,5Y22,5748,4421,218,240,8,222,89,455,27,68,12987,10152,826,526,428,60,1360,551,221,89,2835,1226,342,CRA
16,2.5,Highland Park,CRA,Delridge Neighborhoods,5Y22,3157,2453,92,115,0,70,142,158,13,114,6827,5302,465,285,91,22,642,391,327,114,1525,812,247,CRA
17,3.1,South Park,CRA,Greater Duwamish,5Y22,1444,829,43,171,18,17,62,242,30,32,3679,2184,482,256,125,95,776,449,112,77,1495,877,153,CRA
18,3.2,Georgetown,CRA,Greater Duwamish,5Y22,662,542,0,47,0,24,16,33,0,0,1237,1076,59,26,31,23,71,36,0,0,161,85,16,CRA
19,3.3,Duwamish/SODO,CRA,Greater Duwamish,5Y22,1582,1149,66,73,0,43,94,155,0,2,3060,2444,167,142,66,10,363,206,20,7,616,365,160,CRA
20,3.4,South Beacon Hill/NewHolly,CRA,Greater Duwamish,5Y22,4796,1823,0,188,0,114,883,1121,203,464,14718,6168,612,246,150,27,5656,3644,2132,1265,8550,5182,1086,CRA
21,3.5,Beacon Hill,CRA,Greater Duwamish,5Y22,2958,1123,69,218,0,61,410,937,0,140,8767,4126,656,393,73,3,3355,1715,557,281,4641,2392,479,CRA
22,3.6,North Beacon Hill/Jefferson Park,CRA,Greater Duwamish,5Y22,6946,4152,129,352,0,215,493,1203,115,287,15150,9684,1050,546,369,44,2936,1489,1111,580,5466,2659,737,CRA
23,4.1,Rainier Beach,CRA,Southeast,5Y22,5600,3460,36,305,0,120,293,894,112,380,14695,9663,874,411,231,0,2612,1481,1315,501,5032,2393,441,CRA
24,4.2,Columbia City,CRA,Southeast,5Y22,8585,5631,48,306,0,497,407,914,277,505,19912,13776,639,248,756,131,2989,1647,1752,740,6136,2766,732,CRA
25,4.3,Seward Park,CRA,Southeast,5Y22,3954,3022,70,193,0,69,58,441,23,78,9967,7880,603,262,161,28,1076,577,247,69,2087,936,151,CRA
26,4.4,Mt. Baker/North Rainier,CRA,Southeast,5Y22,2955,2032,56,176,20,150,158,267,0,96,6642,4985,499,188,227,20,644,327,287,70,1657,605,234,CRA
27,5.1,Madrona/Leschi,CRA,Central,5Y22,4890,3695,102,429,0,266,39,210,0,149,11594,9312,784,563,619,29,505,201,374,12,2282,805,141,CRA
28,5.2,Judkins Park,CRA,Central,5Y22,2181,1431,23,153,0,93,241,176,18,46,3677,2451,373,49,161,19,609,380,83,33,1226,481,282,CRA
29,5.3,Central Area/Squire Park,CRA,Central,5Y22,10144,8152,99,308,28,488,0,745,85,239,20499,17287,692,198,851,64,1112,71,557,250,3212,583,212,CRA
30,6.1,First Hill,CRA,East,5Y22,10091,7018,150,365,72,794,300,1136,142,114,18830,13808,1006,350,1330,156,2199,572,487,223,5022,1301,664,CRA
31,6.2,Capitol Hill,CRA,East,5Y22,18910,14297,62,1116,106,1319,353,1450,37,170,25301,19765,1365,71,1806,177,2139,554,226,51,5536,853,558,CRA
32,6.3,North Capitol Hill,CRA,East,5Y22,2706,2082,0,95,0,285,18,226,0,0,4645,3804,122,0,344,0,375,61,0,0,841,61,18,CRA
33,6.4,Miller Park,CRA,East,5Y22,3754,3153,38,105,26,177,0,234,0,21,7701,6566,184,50,388,58,507,90,56,0,1135,198,64,CRA
34,6.5,Madison Park,CRA,East,5Y22,2661,2195,17,23,0,344,0,82,0,0,5481,4503,49,17,780,0,149,16,0,0,978,33,17,CRA
35,7.1,Montlake/Portage Bay,CRA,Northeast,5Y22,4751,3886,8,153,15,265,78,323,0,23,9731,8341,281,16,432,64,654,255,23,0,1390,335,101,CRA
36,7.2,University District,CRA,Northeast,5Y22,6673,3558,0,404,70,555,376,1408,0,302,23365,14476,1373,153,1301,125,5401,1880,814,103,8889,2261,446,CRA
37,7.3,Ravenna/Bryant,CRA,Northeast,5Y22,10677,8407,65,370,76,621,199,821,0,118,26970,23041,746,151,1140,163,1824,637,219,19,3929,970,340,CRA
38,7.4,Wedgwood/View Ridge,CRA,Northeast,5Y22,6818,5390,0,230,0,422,160,585,0,31,16142,13423,300,0,918,62,1467,676,34,0,2719,738,160,CRA
39,7.5,Laurelhurst/Sand Point,CRA,Northeast,5Y22,4498,3717,0,98,0,266,73,313,0,31,10744,9337,201,51,340,0,805,340,61,7,1407,398,73,CRA
40,8.1,Northgate/Maple Leaf,CRA,North,5Y22,7653,5430,68,262,42,570,186,861,111,123,16196,12529,588,235,1049,218,1706,536,324,183,3667,1172,407,CRA
41,8.2,Olympic Hills/Victory Heights,CRA,North,5Y22,7478,5251,116,289,69,451,169,858,42,233,16169,11459,919,463,906,257,1994,582,891,310,4710,1612,396,CRA
42,8.3,Cedar Park/Meadowbrook,CRA,North,5Y22,6619,4809,63,487,24,296,227,388,154,171,13832,10736,758,126,539,73,1145,570,654,353,3096,1122,468,CRA
43,9.1,Broadview/Bitter Lake,CRA,Northwest,5Y22,7880,5946,76,339,59,308,180,457,180,335,15352,12002,635,288,609,198,1099,501,1007,526,3350,1513,495,CRA
44,9.2,Licton Springs,CRA,Northwest,5Y22,4794,3067,95,346,21,368,119,605,104,69,9135,6426,644,228,570,65,1302,286,193,124,2709,703,339,CRA
